"CPW_LOT","DEVICE","FACILITY","TOP","IOP","VPPK","VXOVR","VEA","WAVELENGTH","LFIBER","EXT_RATIO","DISP_PENALTY","MASK_MARGIN","SMSR","RISE_TIME","FALL_TIME","OVERSHOOT","JITTER","CROSSING","ISS","RTH","IPD","IPHOTO","DEVICE_FM","TEST_RUNS","STATE","PRODUCT","FIRST_FAIL_MODE","TEST_DT","PKG_CODE"
"875537","152409458","PKGF10GB6","45.5","95",".61","1.48","-.91","1542.1439","1.778","11.2","2.16","20","51.3","19.6","22.7","1.22","1.86","50",".1487","4.29236","1172.416","34.13531","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"CK-875538","152409459","PKGF10GB5","40.16","85",".52","1.42","-.85","1542.145","3.181","10.6","2.53","20","54.41","22.5","26.7",".8","2.2","49",".1624","5.30327","459.23","33.82043","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"875539","152409460","PKGF10GB5","40.71","88",".49","1.45","-.95","1542.139","2.902","10.6","2.4","20","53.42","21","26.2",".31","2.16","49",".1597","5.18578","1014.292","34.32484","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"875540","152409461","PKGF10GB5","40.36","90",".48","1.47","-.85","1542.141","1.917","10.5","2.46","18","51.87","22.3","26.1",".72","2.22","50",".159","5.25902","1437.786","31.07265","PASS","2","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"875541","152409462","PKGF10GB5","41.91","90",".5","1.51","-.9","1542.145","1.427","10.5","2.21","19","51.43","21.4","26",".65","2.29","49",".1607","4.94469","1264.372","31.85387","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"CK-875544","152409465","PKGF10GB5","42.12","90",".45","1.46","-.9","1542.145","2.324","10.6","2.7","20","53.67","20.4","25.4",".86","2.24","49",".1565","4.90349","1030.71","34.10119","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"875549","152409470","PKGF10GB5","43.14","86",".55","1.45","-.9","1542.141","2.97","10.6","2.57","19","52.35","20.5","26.3",".71","2.08","50",".165","4.7097","981.61","32.01396","PASS","1","C","1626L4B44","PASS","24-JUN-15","80km DWDM"
"875574","152409495","PKGF10GB5","42","90",".48","1.47","-.8","1554.939","2.303","10.5","2.92","19","48.36","21.4","26.3",".72","2.3","50",".1591","4.92638","342.551","33.94856","PASS","1","C","1626L4B28","PASS","24-JUN-15","80km DWDM"
"875576","152409497","PKGF10GB5","38.33","94.9",".59","1.52","-1","1554.942","1.384","10.4","998.9","-999","-999","-999","-999","-999","-999","50",".1686","-999","1001.158","35.23677","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875577","152409498","PKGF10GB5","41.92","94.9",".75","1.49","-.7","1554.938","1.089","10.6","998.9","-999","-999","-999","-999","-999","-999","50",".1822","-999","1166.02","26.13579","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875578","152409499","PKGF10GB5","38.37","94.9",".65","1.42","-.9","1554.939","1.301","10.6","6.22","-999","-999","-999","-999","-999","-999","49",".1737","-999","501.762","37.27773","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875584","152409505","PKGF10GB5","43.67","94.9",".75","1.51","-.65","1554.941",".909","10.6","998.9","-999","-999","-999","-999","-999","-999","50",".1822","-999","558.116","30.21824","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875585","152409506","PKGF10GB5","42.04","90",".56","1.54","-.85","1554.942","3.235","10.5","3.8","-999","-999","-999","-999","-999","-999","50",".1662","-999","799.949","35.66596","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875587","152409508","PKGF10GB5","0","94.9",".44","1.48","-.8","1554.937","1.27","10.6","2.88","18","52.88","-999","-999","-999","2.29","50",".1556","1","1","32.26445","FAIL","3","C","1626L4B28","FAIL_RTH","24-JUN-15","80km DWDM"
"875588","152409509","PKGF10GB5","39.37","94.9",".75","1.44","-.8","1554.94","1.058","10.5","998.9","-999","-999","-999","-999","-999","-999","50",".1821","-999","672.275","32.03114","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"875592","152409513","PKGF10GB5","41.14","94.9",".75","1.54","-.65","1554.941","1.083","10.5","998.9","-999","-999","-999","-999","-999","-999","50",".1823","-999","585.453","30.42425","FAIL","1","C","1626L4B28","FAIL_TUNING","24-JUN-15","80km DWDM"
"CK-875608","152409529","PKGF10GB5","44.91","90",".47","1.42","-1","1554.937","1.57","10.6","2.97","15","50.48","23.7","24.7","1.24","2.46","50",".1582","4.39384","660.744","35.24387","PASS","1","C","1626L4B28","PASS","24-JUN-15","80km DWDM"
